Company Name,Agency,Instrument Type,Instrument_Family,Fee_Avg_Lakhs,Fee_Low_Lakhs,Fee_High_Lakhs,Rating,Rating Date,Amount Cr,Sector,Pipeline_Window,Current Urgency,Call_Window,NCD_Flag,Why Target,ACER Pitch Angle
Trycon Infrastructure Pvt. Ltd.,CRISIL,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4+,09-Feb-2026,2.0,Construction,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Bajrang Agro Inds. Pvt. Ltd.,ACUITE,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,09-Feb-2026,1.5,Agro & Food,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Balkishan Dass Subhash Chand Ispat Pvt. Ltd.,BRICKWORK,Term Loan,Term Loan,5.0,3.0,7.0,C,09-Feb-2026,1.5,Other,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Emperial Films LLP,Infomerics,Short Term Bank Facilities,ST Bank Facilities,2.5,2.0,3.0,IVR A4 (INC)(Downgraded),09-Feb-2026,1.0,Other,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Anil Buildcon India Private Limited,Infomerics,Short Term Bank Facility,Other/Unknown,3.0,2.0,5.0,IVR A4 (INC)(Reaffirmed),09-Feb-2026,0.6,Construction,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Kalyaneswari Polyfabs Pvt. Ltd.,CARE,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,09-Feb-2026,0.5,Other,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Sanauto Engineers (India) Pvt. Ltd.,CARE,NCD/Bond,NCD / Bond,20.0,15.0,25.0,BB-/A4,09-Feb-2026,0.13,Manufacturing,October 2026,LOW,Nov Wk1 (Nov 1-7),NCD — SEBI License Required,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
B N Precast Pvt. Ltd.,ACUITE,Term Loan,Term Loan,5.0,3.0,7.0,B-,09-Feb-2026,0.09,Other,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Shree Manglam Buildcon (I) Private Limited,Infomerics,Short Term Bank Facilities,ST Bank Facilities,2.5,2.0,3.0,IVR A4 (INC) (Downgraded),10-Feb-2026,117.0,Construction,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Adishakti Cars Pvt. Ltd.,CRISIL,Fund-Based,Fund-Based Facilities,5.0,3.0,7.0,BB+,10-Feb-2026,73.0,Automobiles,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Bonanza Portfolio Ltd.,CARE,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,10-Feb-2026,65.0,Logistics,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Regent Garage Pvt. Ltd.,CRISIL,Fund-Based,Fund-Based Facilities,5.0,3.0,7.0,A 4+,10-Feb-2026,60.0,Other,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
B N R Infrastructure Projects Pvt. Ltd.,ICRA,Non-Fund-Based,Non-Fund-Based,3.0,2.0,4.0,A 4,10-Feb-2026,45.0,Construction,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds
Babulal Edible Oils Private Limited,Infomerics,Long Term Bank Facilities,LT Bank Facilities,5.0,3.0,7.0,IVR B+ (INC)(Downgraded),10-Feb-2026,35.0,Agro & Food,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Babulal Edible Oils Private Limited,Infomerics,Long Term Bank Facilities,LT Bank Facilities,5.0,3.0,7.0,IVR B+ (INC)(Downgraded),10-Feb-2026,35.0,Agro & Food,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Babulal Edible Oils Private Limited,Infomerics,Long Term Bank Facilities,LT Bank Facilities,5.0,3.0,7.0,IVR B+ (INC)(Downgraded),10-Feb-2026,35.0,Agro & Food,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Regent Garage Pvt. Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,BB+,10-Feb-2026,31.0,Other,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
D T C Securities Pvt. Ltd.,ACUITE,Term Loan,Term Loan,5.0,3.0,7.0,BB-,10-Feb-2026,30.0,BFSI,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Shree Hari Agro Industries Limited,Infomerics,Long Term Facilities,LT Bank Facilities,5.0,3.0,7.0,IVR B+ (INC) (Downgraded),10-Feb-2026,25.32,Agro & Food,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Bonanza Portfolio Ltd.,CARE,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,10-Feb-2026,25.0,Logistics,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Dhruv Cotton Processing Pvt. Ltd.,CRISIL,Fund-Based,Fund-Based Facilities,5.0,3.0,7.0,BB+,10-Feb-2026,24.62,Agro & Food,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Agrasen Shipbreakers Pvt. Ltd.,CRISIL,Letter of Credit,Letter of Credit,3.0,2.0,4.0,A 4,10-Feb-2026,21.5,Other,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
D T C Projects Pvt. Ltd.,ACUITE,Term Loan,Term Loan,5.0,3.0,7.0,BB-,10-Feb-2026,21.0,Construction,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Regent Garage Pvt. Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,BB+,10-Feb-2026,20.0,Other,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Manglam Agrotech Pvt. Ltd.,CARE,Term Loan,Term Loan,5.0,3.0,7.0,B-,10-Feb-2026,13.57,Agro & Food,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Paithan Mega Food Park Pvt. Ltd.,CARE,Term Loan,Term Loan,5.0,3.0,7.0,B,10-Feb-2026,13.4,Agro & Food,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Acore Industries Pvt. Ltd.,ACUITE,Term Loan,Term Loan,5.0,3.0,7.0,B-,10-Feb-2026,12.5,Manufacturing,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Data Ingenious Global Limited,Infomerics,Long Term Bank Facilities,LT Bank Facilities,5.0,3.0,7.0,IVR B+ (INC)(Downgraded),10-Feb-2026,12.0,IT/Technology,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Jaypee Projects Ltd.,ACUITE,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,10-Feb-2026,12.0,Construction,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Instinct Infra & Power Ltd.,CRISIL,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4+,10-Feb-2026,10.0,Steel & Metals,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Shree Hari Agro Industries Limited,Infomerics,Short Term Facilities,ST Bank Facilities,2.5,2.0,3.0,IVR A4 (INC) (Reaffirmed),10-Feb-2026,10.0,Agro & Food,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Dhruv Cotton Processing Pvt. Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,BB+,10-Feb-2026,9.1,Agro & Food,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Anil Engineering Pvt. Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,B-,10-Feb-2026,6.5,Manufacturing,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Adishakti Cars Pvt. Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,BB+,10-Feb-2026,6.0,Automobiles,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Nash Robotics & Automation Pvt. Ltd.,ACUITE,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,10-Feb-2026,5.0,Automobiles,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Brijlal Hospital & Research Centre Pvt. Ltd.,CARE,Term Loan,Term Loan,5.0,3.0,7.0,B-,10-Feb-2026,4.92,Healthcare,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Baba PuranDass Financial Services Limited,Infomerics,Proposed Fixed Deposit,Other/Unknown,3.0,2.0,5.0,IVR C- (INC) (Reaffirmed),10-Feb-2026,4.0,BFSI,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Shree Manglam Buildcon (I) Private Limited,Infomerics,Long Term Bank Facilities,LT Bank Facilities,5.0,3.0,7.0,IVR BB (INC) (Downgraded),10-Feb-2026,4.0,Construction,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Adishakti Cars Pvt. Ltd.,CRISIL,Fund-Based,Fund-Based Facilities,5.0,3.0,7.0,BB+,10-Feb-2026,2.62,Automobiles,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Dhruv Cotton Processing Pvt. Ltd.,CRISIL,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4+,10-Feb-2026,2.0,Agro & Food,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Jaypee Projects Ltd.,ACUITE,Term Loan,Term Loan,5.0,3.0,7.0,A 4,10-Feb-2026,2.0,Construction,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Nash Robotics & Automation Pvt. Ltd.,ACUITE,Letter of Credit,Letter of Credit,3.0,2.0,4.0,A 4,10-Feb-2026,2.0,Automobiles,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Brijlal Hospital & Research Centre Pvt. Ltd.,CARE,Fund-Based,Fund-Based Facilities,5.0,3.0,7.0,B-,10-Feb-2026,1.86,Healthcare,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Adishakti Cars Pvt. Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,BB+,10-Feb-2026,1.38,Automobiles,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Enzal Chemicals (India) Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,B+,10-Feb-2026,1.0,Chemicals & Pharma,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Kabra Transport Pvt. Ltd.,CARE,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,B-,10-Feb-2026,1.0,Logistics,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Nash Robotics & Automation Pvt. Ltd.,ACUITE,Term Loan,Term Loan,5.0,3.0,7.0,A 4,10-Feb-2026,1.0,Automobiles,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
V G C Beena Pvt. Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,BB,10-Feb-2026,1.0,Other,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
R K B K Ltd.,ACUITE,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,10-Feb-2026,0.5,Other,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Abhushan Creations Pvt. Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,B+,10-Feb-2026,0.05,Other,October 2026,LOW,Nov Wk1 (Nov 1-7),Standard,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Sri Raja Rajeswari Constructions (India) Pvt. Ltd.,CRISIL,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4+,11-Feb-2026,197.0,Construction,October 2026,LOW,Nov Wk2 (Nov 8-14),Standard,INC rating hits HOT threshold on 2026-11-08 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Sri Raja Rajeswari Constructions (India) Pvt. Ltd.,CRISIL,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4+,11-Feb-2026,95.0,Construction,October 2026,LOW,Nov Wk2 (Nov 8-14),Standard,INC rating hits HOT threshold on 2026-11-08 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Kalika Steel Alloys Pvt. Ltd.,CARE,Term Loan,Term Loan,5.0,3.0,7.0,BB-,11-Feb-2026,88.15,Steel & Metals,October 2026,LOW,Nov Wk2 (Nov 8-14),Standard,INC rating hits HOT threshold on 2026-11-08 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Kalika Steel Alloys Pvt. Ltd.,CARE,Letter of Credit,Letter of Credit,3.0,2.0,4.0,A 4,11-Feb-2026,70.0,Steel & Metals,October 2026,LOW,Nov Wk2 (Nov 8-14),Standard,INC rating hits HOT threshold on 2026-11-08 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Preeti Buildcon Pvt. Ltd.,CARE,NCD/Bond,NCD / Bond,20.0,15.0,25.0,BB-/A4,11-Feb-2026,64.15,Construction,October 2026,LOW,Nov Wk2 (Nov 8-14),NCD — SEBI License Required,INC rating hits HOT threshold on 2026-11-08 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Kalika Steel Alloys Pvt. Ltd.,CARE,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,11-Feb-2026,20.0,Steel & Metals,October 2026,LOW,Nov Wk2 (Nov 8-14),Standard,INC rating hits HOT threshold on 2026-11-08 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Indian Additives Ltd.,CARE,NCD/Bond,NCD / Bond,20.0,15.0,25.0,AA/A1+,11-Feb-2026,10.0,Other,October 2026,LOW,Nov Wk2 (Nov 8-14),NCD — SEBI License Required,INC rating hits HOT threshold on 2026-11-08 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Brahampuri Steels Ltd.,ACUITE,Letter of Credit,Letter of Credit,3.0,2.0,4.0,A 4,11-Feb-2026,7.0,Steel & Metals,October 2026,LOW,Nov Wk2 (Nov 8-14),Standard,INC rating hits HOT threshold on 2026-11-08 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Hitech Cellphone Pvt. Ltd.,ICRA,Non-Fund-Based,Non-Fund-Based,3.0,2.0,4.0,A 4,11-Feb-2026,7.0,IT/Technology,October 2026,LOW,Nov Wk2 (Nov 8-14),Standard,INC rating hits HOT threshold on 2026-11-08 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds
Preeti Buildcon Pvt. Ltd.,CARE,NCD/Bond,NCD / Bond,20.0,15.0,25.0,BB-/A4,11-Feb-2026,3.74,Construction,October 2026,LOW,Nov Wk2 (Nov 8-14),NCD — SEBI License Required,INC rating hits HOT threshold on 2026-11-08 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Sarvesh Cars & Motors Pvt. Ltd.,ICRA,Term Loan,Term Loan,5.0,3.0,7.0,B+,11-Feb-2026,3.57,Automobiles,October 2026,LOW,Nov Wk2 (Nov 8-14),Standard,INC rating hits HOT threshold on 2026-11-08 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds
Indian Additives Ltd.,CARE,NCD/Bond,NCD / Bond,20.0,15.0,25.0,AA/A1+,11-Feb-2026,3.0,Other,October 2026,LOW,Nov Wk2 (Nov 8-14),NCD — SEBI License Required,INC rating hits HOT threshold on 2026-11-08 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Brijbasi Art Press Ltd.,ICRA,Term Loan,Term Loan,5.0,3.0,7.0,B+,11-Feb-2026,2.55,Other,October 2026,LOW,Nov Wk2 (Nov 8-14),Standard,INC rating hits HOT threshold on 2026-11-08 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds
Indian Additives Ltd.,CARE,NCD/Bond,NCD / Bond,20.0,15.0,25.0,AA/A1+,11-Feb-2026,2.5,Other,October 2026,LOW,Nov Wk2 (Nov 8-14),NCD — SEBI License Required,INC rating hits HOT threshold on 2026-11-08 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
S V S Cottons (India) Pvt. Ltd.,CARE,Term Loan,Term Loan,5.0,3.0,7.0,B-,11-Feb-2026,2.5,Agro & Food,October 2026,LOW,Nov Wk2 (Nov 8-14),Standard,INC rating hits HOT threshold on 2026-11-08 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Preeti Buildcon Pvt. Ltd.,CARE,Term Loan,Term Loan,5.0,3.0,7.0,BB-,11-Feb-2026,1.11,Construction,October 2026,LOW,Nov Wk2 (Nov 8-14),Standard,INC rating hits HOT threshold on 2026-11-08 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Brahampuri Steels Ltd.,ACUITE,Term Loan,Term Loan,5.0,3.0,7.0,B-,11-Feb-2026,0.74,Steel & Metals,October 2026,LOW,Nov Wk2 (Nov 8-14),Standard,INC rating hits HOT threshold on 2026-11-08 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Brijbasi Art Press Ltd.,ICRA,Non-Fund-Based,Non-Fund-Based,3.0,2.0,4.0,A 4,11-Feb-2026,0.6,Other,October 2026,LOW,Nov Wk2 (Nov 8-14),Standard,INC rating hits HOT threshold on 2026-11-08 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds
M R L Tyres Ltd.,CARE,Term Loan,Term Loan,5.0,3.0,7.0,BB+,12-Feb-2026,212.0,Automobiles,October 2026,LOW,Nov Wk2 (Nov 8-14),Standard,INC rating hits HOT threshold on 2026-11-09 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Shree Automotive Pvt. Ltd.,CARE,Fund-Based,Fund-Based Facilities,5.0,3.0,7.0,B,12-Feb-2026,94.5,Automobiles,October 2026,LOW,Nov Wk2 (Nov 8-14),Standard,INC rating hits HOT threshold on 2026-11-09 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Kalthia Priyheer Infrastructure Pvt. Ltd.,ACUITE,Term Loan,Term Loan,5.0,3.0,7.0,BB,12-Feb-2026,65.49,Construction,October 2026,LOW,Nov Wk2 (Nov 8-14),Standard,INC rating hits HOT threshold on 2026-11-09 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Luxor Writing Instruments Pvt. Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,B+,12-Feb-2026,33.69,Steel & Metals,October 2026,LOW,Nov Wk2 (Nov 8-14),Standard,INC rating hits HOT threshold on 2026-11-09 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Luxor International Pvt. Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,B+,12-Feb-2026,27.75,Other,October 2026,LOW,Nov Wk2 (Nov 8-14),Standard,INC rating hits HOT threshold on 2026-11-09 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Luxor Writing Instruments Pvt. Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,B+,12-Feb-2026,26.31,Steel & Metals,October 2026,LOW,Nov Wk2 (Nov 8-14),Standard,INC rating hits HOT threshold on 2026-11-09 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
M R L Tyres Ltd.,CARE,NCD/Bond,NCD / Bond,20.0,15.0,25.0,BB+/A4+,12-Feb-2026,17.0,Automobiles,October 2026,LOW,Nov Wk2 (Nov 8-14),NCD — SEBI License Required,INC rating hits HOT threshold on 2026-11-09 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
M P M Pvt. Ltd.,CARE,Letter of Credit,Letter of Credit,3.0,2.0,4.0,A 4,12-Feb-2026,11.5,Other,October 2026,LOW,Nov Wk2 (Nov 8-14),Standard,INC rating hits HOT threshold on 2026-11-09 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Huhtamaki Foodservice Packaging India Pvt. Ltd.,CARE,Term Loan,Term Loan,5.0,3.0,7.0,C,12-Feb-2026,10.0,Agro & Food,October 2026,LOW,Nov Wk2 (Nov 8-14),Standard,INC rating hits HOT threshold on 2026-11-09 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Unify Texturisers Pvt. Ltd.,CRISIL,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4+,12-Feb-2026,10.0,Other,October 2026,LOW,Nov Wk2 (Nov 8-14),Standard,INC rating hits HOT threshold on 2026-11-09 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Asha Enterprises Pvt. Ltd.,CARE,NCD/Bond,NCD / Bond,20.0,15.0,25.0,B-/A4,12-Feb-2026,8.0,Other,October 2026,LOW,Nov Wk2 (Nov 8-14),NCD — SEBI License Required,INC rating hits HOT threshold on 2026-11-09 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Shree Automotive Pvt. Ltd.,CARE,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,12-Feb-2026,8.0,Automobiles,October 2026,LOW,Nov Wk2 (Nov 8-14),Standard,INC rating hits HOT threshold on 2026-11-09 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Vee Vee Controls Pvt. Ltd.,ACUITE,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,12-Feb-2026,6.75,Other,October 2026,LOW,Nov Wk2 (Nov 8-14),Standard,INC rating hits HOT threshold on 2026-11-09 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
