Company Name,Agencies Used,Agency Count,Last Rating Date,Rating,Instrument,Urgency,Last Rating Urgency,Sector,INC_Flag,Why Target,Pitch Angle
Sahastraa Exports Pvt. Ltd.,CRISIL | ICRA,2,2025-12-26,A 4,Non-fund-based financial facility/instrument,LOW,LOW,Infrastructure,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Shoe Variants Pvt. Ltd.,CARE | CRISIL,2,2025-12-26,BBB+,Term loans,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Shriram Power & Steel Pvt. Ltd.,BRICKWORK | CRISIL,2,2025-12-26,A 2,Bank Guarantee,LOW,LOW,Infrastructure,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Shrishaila Electricals (India) Pvt. Ltd.,ACUITE | CARE,2,2025-12-26,A 4,Bank Guarantee,LOW,LOW,Infrastructure,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Srikar Biotech Pvt. Ltd.,CARE | CRISIL,2,2025-12-26,BBB+,Term loans,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Sudiva Spinners Pvt. Ltd.,CRISIL | IND-RA,2,2025-12-26,BBB+,Term loans,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Travancore Cocotuft Pvt. Ltd.,CARE | ICRA,2,2025-12-26,A 3,Letter Of credit,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
V R C Constructions (India) Ltd.,CRISIL | ICRA,2,2025-12-26,A 1,Non-fund-based financial facility/instrument,LOW,LOW,Construction,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Webfil Ltd.,CRISIL | ICRA,2,2025-12-26,A 4,Bank Guarantee,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Natural Sugar & Allied Inds. Ltd.,CRISIL | ICRA,2,2025-12-27,A 3+,Bank Guarantee,LOW,LOW,Agro/Food,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Gupta Timbertrader Pvt. Ltd.,CARE | CRISIL,2,2025-12-29,A 4+,Letter Of credit,LOW,LOW,Trading,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Indcon Projects & Equipment Ltd.,CARE | CRISIL,2,2025-12-29,BBB-/A3,Non-government debt,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Indo Brine Inds. Ltd.,CARE | CRISIL,2,2025-12-29,BB,Bank Guarantee,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
J F K International Ltd.,CARE | CRISIL,2,2025-12-29,BB/A4,Non-government debt,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Khandoba Distilleries Pvt. Ltd.,BRICKWORK | CRISIL,2,2025-12-29,BBB-,Term loans,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Northern Arc Capital Ltd.,ICRA | IND-RA,2,2025-12-29,AA-,Non-fund-based financial facility/instrument,LOW,LOW,BFSI,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Shakti Polyweave Pvt. Ltd.,CARE | IND-RA,2,2025-12-29,B+,Term loans,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Sri Varadaraja Textiles Pvt. Ltd.,CARE | CRISIL,2,2025-12-29,B-,Term loans,LOW,LOW,Textiles,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
U A L Industries Ltd.,CARE | CRISIL,2,2025-12-29,A+/A1+,Non-government debt,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Chandpur Enterprises Ltd.,CARE | CRISIL,2,2025-12-30,BBB-,Term loans,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Danieli India Ltd.,CARE | IND-RA,2,2025-12-30,AA-/A1+,Non-government debt,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Geokno India Pvt. Ltd.,ACUITE | CRISIL,2,2025-12-30,A 4,Bank Guarantee,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Green Infra Corporate Solar Pvt. Ltd.,CRISIL | IND-RA,2,2025-12-30,AA+,Term loans,LOW,LOW,Infrastructure,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Green Infra Wind Power Generation Ltd.,CRISIL | IND-RA,2,2025-12-30,AA+,Term loans,LOW,LOW,Infrastructure,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Harmony Plastics Pvt. Ltd.,ACUITE | CARE,2,2025-12-30,A,Term loans,LOW,LOW,Chemicals,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
I C I C I Securities Primary Dealership Ltd.,CARE | CRISIL,2,2025-12-30,AAA,Debentures / Bonds / notes / bills,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
I V Y Ecoenergy India Pvt. Ltd.,CRISIL | IND-RA,2,2025-12-30,AA+,Term loans,LOW,LOW,Infrastructure,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Mewar Polytex Ltd.,ACUITE | CARE,2,2025-12-30,A/A1,Non-government debt,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Rajsamadhiyala Spintex Pvt. Ltd.,CARE | ICRA,2,2025-12-30,B,Term loans,LOW,LOW,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Rochem Separation Systems (I) Pvt. Ltd.,ACUITE | CARE,2,2025-12-30,A 3+,Letter Of credit,LOW,LOW,Chemicals,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
S B Cars Pvt. Ltd.,BRICKWORK | ICRA,2,2025-12-30,C,Fund based financial facility/instrument,LOW,LOW,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Sadguru Infratech Pvt. Ltd.,BRICKWORK | ICRA,2,2025-12-30,A 4,Bank Guarantee,LOW,LOW,Infrastructure,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Shahlon Silk Inds. Ltd.,CARE | CRISIL,2,2025-12-30,B,Term loans,LOW,LOW,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Shell Apparels Pvt. Ltd.,ICRA | IND-RA,2,2025-12-30,B+,Non-fund-based financial facility/instrument,LOW,LOW,Textiles,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Siddhi Weaves Pvt. Ltd.,BRICKWORK | IND-RA,2,2025-12-30,C,Term loans,LOW,LOW,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Sun Polytex Pvt. Ltd.,ACUITE | CARE,2,2025-12-30,A,Term loans,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Vanilla Clean Power Pvt. Ltd.,CRISIL | IND-RA,2,2025-12-30,AA+,Term loans,LOW,LOW,Infrastructure,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
W F B Baird & Co. India Pvt. Ltd.,CARE | IND-RA,2,2025-12-30,BBB,Term loans,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Axis Securities Ltd.,CARE | ICRA,2,2025-12-31,AAA/A1+,Non-government debt,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Beumer India Pvt. Ltd.,ICRA | IND-RA,2,2025-12-31,A+,Long term Loans,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Biorad Medisys Pvt. Ltd.,CRISIL | ICRA,2,2025-12-31,BBB+,Term loans,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Captain Steel India Ltd.,ACUITE | ICRA,2,2025-12-31,A 1+,Bank Guarantee,LOW,LOW,Steel & Metals,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Clean Max Bhoomi Pvt. Ltd.,CARE | IND-RA,2,2025-12-31,BBB+,Term loans,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Gigaplex Estate Pvt. Ltd.,CARE | ICRA,2,2025-12-31,AAA,Term loans,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Gravity Ferrous Pvt. Ltd.,CARE | CRISIL,2,2025-12-31,BBB-,Term loans,LOW,LOW,Steel & Metals,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Healthcaps India Ltd.,CRISIL | ICRA,2,2025-12-31,A-/A2+,Non-government debt,LOW,LOW,Healthcare,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Jai Hind Sugar Pvt. Ltd.,BRICKWORK | IND-RA,2,2025-12-31,B,Fund based financial facility/instrument,LOW,LOW,Agro/Food,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Jayabheri Automotives Pvt. Ltd.,CRISIL | ICRA,2,2025-12-31,A 4,Non-fund-based financial facility/instrument,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
John Deere Financial India Pvt. Ltd.,CRISIL | ICRA,2,2025-12-31,AAA,Term loans,LOW,LOW,BFSI,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Network18 Media & Invst. Ltd.,CARE | ICRA,2,2025-12-31,A 1+,Non-fund-based financial facility/instrument,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Partap Spintex Pvt. Ltd.,BRICKWORK | CARE,2,2025-12-31,BBB-/A3,Non-government debt,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Sobha Ltd.,ICRA | IND-RA,2,2025-12-31,AA-,Term loans,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Sova Solar Ltd.,ACUITE | CRISIL,2,2025-12-31,A 2+,Bank Guarantee,LOW,LOW,Infrastructure,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
A S G Hospital Pvt. Ltd.,CARE | CRISIL,2,2026-01-02,A-,Term loans,LOW,LOW,Healthcare,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Ambuja Cements Ltd.,CARE | CRISIL,2,2026-01-02,A 1+,Short-term loan,LOW,LOW,Construction,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
B L A Projects Pvt. Ltd.,CRISIL | IND-RA,2,2026-01-02,A 3+,Non-fund based working capital limit,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Light Craft & Sound Pvt. Ltd.,CRISIL | IND-RA,2,2026-01-02,BBB-,Long term Loans,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Mithabhi Lamps Pvt. Ltd.,CARE | CRISIL,2,2026-01-02,A 4,Bank Guarantee,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Noble Moulds Pvt. Ltd.,BRICKWORK | CRISIL,2,2026-01-02,B-/A4,Non-government debt,LOW,LOW,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Scoda Tubes Ltd.,CARE | CRISIL,2,2026-01-02,BBB,Term loans,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Shivganga Drillers Ltd.,BRICKWORK | IND-RA,2,2026-01-02,BB-,Fund based financial facility/instrument,LOW,LOW,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Sky Spintex Pvt. Ltd.,CARE | IND-RA,2,2026-01-02,A 3,Non-fund based working capital limit,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Torrent Pharmaceuticals Ltd.,ICRA | IND-RA,2,2026-01-02,AA+,Term loans,LOW,LOW,Chemicals,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Alkem Laboratories Ltd.,CARE | CRISIL,2,2026-01-05,AA+/A1+,Non-government debt,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Bony Polymers Pvt. Ltd.,CARE | CRISIL,2,2026-01-05,A 2,Bank Guarantee,LOW,LOW,Chemicals,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Dirco Polymers Pvt. Ltd.,CARE | CRISIL,2,2026-01-05,A 4+,Letter Of credit,LOW,LOW,Chemicals,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Euro Safety Footwear (India) Ltd.,CARE | CRISIL,2,2026-01-05,BB+,Term loans,LOW,LOW,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
G R Infraprojects Ltd.,CARE | CRISIL,2,2026-01-05,AA+/A1+,Non-government debt,LOW,LOW,Infrastructure,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
J D C India Ltd.,ACUITE | CRISIL,2,2026-01-05,A 4,Bank Guarantee,LOW,LOW,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Renew Nizamabad Power Pvt. Ltd.,CARE | CRISIL,2,2026-01-05,A+,Term loans,LOW,LOW,Infrastructure,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Sitaram Denims India Ltd.,CRISIL | IND-RA,2,2026-01-05,BB+,Term loans,LOW,LOW,Textiles,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Spectrum Tool Engineers Pvt. Ltd.,ACUITE | CRISIL,2,2026-01-05,BB+,Term loans,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Vintage Distillers Ltd.,ACUITE | BRICKWORK,2,2026-01-05,B,Term loans,LOW,LOW,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Azure Power Forty Pvt. Ltd.,CARE | CRISIL,2,2026-01-06,A,Term loans,LOW,LOW,Infrastructure,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Azure Power India Pvt. Ltd.,CARE | CRISIL,2,2026-01-06,A,Term loans,LOW,LOW,Infrastructure,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Graffiti (India) Pvt. Ltd.,BRICKWORK | CARE,2,2026-01-06,D,Bank Guarantee,LOW,LOW,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Gujarat Colourlam Pvt. Ltd.,CARE | CRISIL,2,2026-01-06,BB+,Term loans,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Hindusthan Insulators & Inds. Ltd.,BRICKWORK | CARE,2,2026-01-06,BB/A4,Non-government debt,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Navi Mumbai Intl. Airport Pvt. Ltd.,CRISIL | IND-RA,2,2026-01-06,A+,Bank Guarantee,LOW,LOW,Infrastructure,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Progressive Cars Pvt. Ltd.,CARE | CRISIL,2,2026-01-06,B-,Term loans,LOW,LOW,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
V S V Renewables Pvt. Ltd.,CARE | ICRA,2,2026-01-06,A,Term loans,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Venus Alloys Pvt. Ltd.,ACUITE | IND-RA,2,2026-01-06,BBB,Long term Loans,LOW,LOW,Steel & Metals,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Wagad Infraprojects Pvt. Ltd.,ACUITE | CRISIL,2,2026-01-06,BB+,Fund based financial facility/instrument,LOW,LOW,Infrastructure,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Anantam Highways Trust,ICRA | IND-RA,2,2026-01-07,AAA,Term loans,LOW,LOW,Infrastructure,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Atibir Industries Co. Ltd.,CARE | IND-RA,2,2026-01-07,D,Term loans,LOW,LOW,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Chhatrapati Sambhaji Raje Sakhar Udyog Ltd.,ACUITE | CARE,2,2026-01-07,BB-,Term loans,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
D B Power Ltd.,CRISIL | ICRA,2,2026-01-07,AA,Fund based financial facility/instrument,LOW,LOW,Infrastructure,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
G R K Theatres Pvt. Ltd.,CARE | CRISIL,2,2026-01-07,B-,Term loans,LOW,LOW,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Jawala Coke Pvt. Ltd.,BRICKWORK | CARE,2,2026-01-07,A 4,Bank Guarantee,LOW,LOW,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Mahalaxmi Automotives Pvt. Ltd.,ACUITE | CRISIL,2,2026-01-07,A 4+,Bank Guarantee,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Matsyodari Steel & Alloys Pvt. Ltd.,CARE | CRISIL,2,2026-01-07,A 4+,Bank Guarantee,LOW,LOW,Steel & Metals,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Mercury Car Rentals Pvt. Ltd.,CARE | CRISIL,2,2026-01-07,A,Term loans,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Ric Projects Pvt. Ltd.,CARE | CRISIL,2,2026-01-07,BB+/A4+,Non-government debt,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Shri Ambalika Sugar Pvt. Ltd.,CRISIL | IND-RA,2,2026-01-07,BBB-,Term loans,LOW,LOW,Agro/Food,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Sterlite Technologies Ltd.,CRISIL | ICRA,2,2026-01-07,AA-,Letter Of credit,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Vayhan Coffee Ltd.,CRISIL | IND-RA,2,2026-01-07,A 3+,Non-fund based working capital limit,LOW,LOW,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Vedik Ispat Pvt. Ltd.,BRICKWORK | CARE,2,2026-01-07,D,Term loans,LOW,LOW,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
