Blitz Rank,Company Name,Sector,Instrument,Current Rater,Rating,Rating Date,Urgency,INC Flag,Priority Score,Why Target,ACER Pitch Angle,Tier
665,Gaytri Industrial Corporation Private Limited,Manufacturing,Long Term Facilities,Infomerics,IVR BBB- (Reaffirmed),"December 4, 2024",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
666,Glass Wall Systems (India) Private Limited,Manufacturing,Long Term Fund based facility- Cash Credit,Infomerics,IVR BB+ (Assigned & Withdrawn),"August 9, 2021",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
667,Global Castings Private Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BB+ (Upgraded and Withdrawn),"January 7, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
668,Globe Panel Industries India Private Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BBB (Upgraded),"March 25, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
669,Goa Industrial Development Corporation,Manufacturing,Long Term Fund Based Bank Facility - Term Loan,Infomerics,Withdrawn,"January 25, 2023",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
670,Goyal Agro Industries Private Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BB- (Assigned),"April 2, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
671,H D Wire Private Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BBB+ (Upgraded),"April 1, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
672,HMV Rice Industries,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BB (Assigned),"April 21, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
673,HYT Engineering Company Private Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BBB,"January 31, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
674,Hans Industries Private Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BB+ (Reaffirmed),"March 13, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
675,Hi-Tech Gears Ltd.,Manufacturing,Long term Loans,CRISIL,A-,08-05-2025,HIGH,NO,3,"CRISIL client, high urgency renewal approaching","Pre-renewal outreach — ACER vs CRISIL: faster, more accessible, India-focused analyst team",HOT
676,Hydrise Industries Private Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BBB- (Assigned),"February 28, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
677,I-Design Engineering Solutions Ltd.,Manufacturing,Term loans,IND-RA,BBB,08-05-2025,HIGH,NO,3,"IND-RA client, high urgency renewal approaching","Pre-renewal outreach — ACER vs IND-RA: faster, more accessible, India-focused analyst team",HOT
678,IC Electricals Company Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BB+ (Assigned),"January 7, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
679,Incredible Industries Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BBB (Reaffirmed),"February 11, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
680,Innova Rubbers Pvt. Ltd.,Manufacturing,Non-government debt,CARE,BBB-/A3,02-06-2025,HIGH,NO,3,"CARE client, high urgency renewal approaching","Pre-renewal outreach — ACER vs CARE: faster, more accessible, India-focused analyst team",HOT
681,Integra Automation Private Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BBB (Assigned),"March 28, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
682,Integral Industries Private Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BBB- (Reaffirmed),"May 27, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
683,J B M Auto Ltd.,Manufacturing,Term loans,CRISIL,A,07-05-2025,HIGH,NO,3,"CRISIL client, high urgency renewal approaching","Pre-renewal outreach — ACER vs CRISIL: faster, more accessible, India-focused analyst team",HOT
684,JD Cables Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BBB- (Assigned),"June 9, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
685,JKPL Utility Packaging Solutions Private Limited (Erstwhile Manipal Utility Packaging Solutions Private Limited),Manufacturing,Long Term Bank Facilities,Infomerics,IVR BBB+ (Upgraded and Withdrawn),"December 23, 2024",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
686,JPB Chemical Industries Private Limited,Manufacturing,Long Term Fund Based Facility - Cash Credit,Infomerics,Withdrawn,"May 30, 2022",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
687,JTL Industries Limited (Erstwhile JTL Infra Limited),Manufacturing,Long Term Bank Facilities,Infomerics,IVR A,"April 24, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
688,Jabalpur Cement Industries Private Limited,Manufacturing,Long Term Bank Facilities (including proposed term loan of Rs. 18.85 crore and proposed cash credit limit of Rs. 42.50 crore),Infomerics,IVR BB (Assigned),"December 20, 2024",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
689,Jagatjit Industries Ltd.,Manufacturing,Long term Loans,ACUITE,BB-,28-05-2025,HIGH,NO,3,"ACUITE client, high urgency renewal approaching","Pre-renewal outreach — ACER vs ACUITE: faster, more accessible, India-focused analyst team",HOT
690,Jagdhatri Papers Pvt. Ltd.,Manufacturing,Long term Loans,CRISIL,BB+,28-05-2025,HIGH,NO,3,"CRISIL client, high urgency renewal approaching","Pre-renewal outreach — ACER vs CRISIL: faster, more accessible, India-focused analyst team",HOT
691,Jagmohan Automotives Pvt. Ltd.,Manufacturing,Fund based financial facility/instrument,CRISIL,A 3+,03-06-2025,HIGH,NO,3,"CRISIL client, high urgency renewal approaching","Pre-renewal outreach — ACER vs CRISIL: faster, more accessible, India-focused analyst team",HOT
692,Jain Engineering Works (India) Private Limited (Erstwhile Jain Engineering Works),Manufacturing,Long Term Bank Facilities,Infomerics,IVR C (Downgraded),"March 20, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
693,Jay Jagdamba Forgings Private Limited,Manufacturing,Long term fund-based Bank facility - CC,Infomerics,IVR BBB+ (Reaffirmed) (Withdrawn),"February 14, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
694,Jindal Textile Industries Limited,Manufacturing,Long Term Bank Facility,Infomerics,IVR BB+ (Assigned),"March 4, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
695,Joshi Auto Zone Pvt. Ltd.,Manufacturing,Term loans,CRISIL,BB+,30-05-2025,HIGH,NO,3,"CRISIL client, high urgency renewal approaching","Pre-renewal outreach — ACER vs CRISIL: faster, more accessible, India-focused analyst team",HOT
696,Juliet Apparels Pvt. Ltd.,Manufacturing,Long term Loans,CRISIL,D,19-05-2025,HIGH,NO,3,"CRISIL client, high urgency renewal approaching","Pre-renewal outreach — ACER vs CRISIL: faster, more accessible, India-focused analyst team",HOT
697,Kaveri Engineering Projects Private Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BBB+ (Assigned),"May 29, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
698,Keshav Cotton Industries,Manufacturing,Long Term Facilities,Infomerics,IVR B (Assigned),"February 3, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
699,Kesho Ram Industries,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BB+ (Assigned),"December 10, 2024",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
700,Kun Auto Co. Pvt. Ltd.,Manufacturing,Fund based financial facility/instrument,CRISIL,BBB+,27-05-2025,HIGH,NO,3,"CRISIL client, high urgency renewal approaching","Pre-renewal outreach — ACER vs CRISIL: faster, more accessible, India-focused analyst team",HOT
701,Leade Liquor Manufacturing Private Limited,Manufacturing,Long Term Bank Facility,Infomerics,IVR BBB- (Upgraded),"November 29, 2024",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
702,Lloyds Engineering Corporation Private Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BB+ (Assigned),"March 20, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
703,Lords Mark Industries Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BBB+ (Upgraded),"May 20, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
704,M E W Electricals Ltd.,Manufacturing,Long term Loans,CRISIL,BBB-,30-05-2025,HIGH,NO,3,"CRISIL client, high urgency renewal approaching","Pre-renewal outreach — ACER vs CRISIL: faster, more accessible, India-focused analyst team",HOT
705,MI Industries India Private Limited,Manufacturing,Long Term Bank Facilities,Infomerics,Withdrawn,"October 30, 2024",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
706,MITCON Consultancy and Engineering Services Limited,Manufacturing,Long term Bank Facilities - CC/BG,Infomerics,IVR BB+ (Re-affirmed & Withdrawn),"May 1, 2024",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
707,MPCL Industries Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BBB+ (Reaffirmed and Withdrawn),"February 7, 2023",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
708,Maiden Forgings Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BB (Reaffirmed and Withdrawn),"April 29, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
709,Maihar Cement Pipe Industries,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BB- (Assigned),"March 19, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
710,Malnad Alloy Castings Private Limited,Manufacturing,Long Term Facilities,Infomerics,IVR BBB- (Assigned),"May 30, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
711,Manaksia Industries - Commercial Paper,Manufacturing,Commercial Paper,Infomerics,IVR A2+ (Withdrawn),"February 19, 2018",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
712,Manaksia Industries - Corporate Governance,Manufacturing,Corporate Governance Rating,Infomerics,IVR CGR 3+ (Withdrawn),"February 21, 2018",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
713,Mantra Industries Limited,Manufacturing,Long Term Facilities,Infomerics,IVR BBB- (Assigned),"December 27, 2024",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
714,Marelli Motherson Automotive Lighting India Pvt. Ltd.,Manufacturing,Non-fund based working capital limit,IND-RA,A 1+,04-06-2025,HIGH,NO,3,"IND-RA client, high urgency renewal approaching","Pre-renewal outreach — ACER vs IND-RA: faster, more accessible, India-focused analyst team",HOT
715,Matsyodari Steel And Alloy Private Limited,Manufacturing,Long Term Bank Facilities - Term Loans,Infomerics,IVR BBB- (Reaffirmed & Withdrawn),"October 3, 2024",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
716,Maurya Motors Pvt. Ltd.,Manufacturing,Fund based financial facility/instrument,CRISIL,BB-,29-05-2025,HIGH,NO,3,"CRISIL client, high urgency renewal approaching","Pre-renewal outreach — ACER vs CRISIL: faster, more accessible, India-focused analyst team",HOT
717,Maxop Engineering Co. Pvt. Ltd.,Manufacturing,Term loans,ICRA,A+,12-05-2025,HIGH,NO,3,"ICRA client, high urgency renewal approaching","Pre-renewal outreach — ACER vs ICRA: faster, more accessible, India-focused analyst team",HOT
718,Mehru Electrical & Mechanical Engineers Pvt. Ltd.,Manufacturing,Bank Guarantee,CRISIL,A 2,04-06-2025,HIGH,NO,3,"CRISIL client, high urgency renewal approaching","Pre-renewal outreach — ACER vs CRISIL: faster, more accessible, India-focused analyst team",HOT
719,Metal Engineering and Treatment Company Private Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BB+ (Assigned),"April 30, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
720,Metallic Ferro Alloys LLP,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BBB (Reaffirmed),"May 30, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
721,Mindspace Industries Private Limited (erstwhile Simplex Coke and Refractory Private Limited),Manufacturing,Long Term Bank Facilities,Infomerics,IVR BBB- (Upgraded),"March 6, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
722,Mittal Pigments Private Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR A (Upgraded),"January 27, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
723,Mojj Engineering Systems Ltd.,Manufacturing,Non-fund based working capital limit,IND-RA,A 3+,28-05-2025,HIGH,NO,3,"IND-RA client, high urgency renewal approaching","Pre-renewal outreach — ACER vs IND-RA: faster, more accessible, India-focused analyst team",HOT
724,Mutual Automotive Pvt. Ltd.,Manufacturing,Term loans,CRISIL,A-,06-05-2025,HIGH,NO,3,"CRISIL client, high urgency renewal approaching","Pre-renewal outreach — ACER vs CRISIL: faster, more accessible, India-focused analyst team",HOT
725,Mutual Industries Ltd.,Manufacturing,Term loans,CRISIL,BB+,09-06-2025,HIGH,NO,3,"CRISIL client, high urgency renewal approaching","Pre-renewal outreach — ACER vs CRISIL: faster, more accessible, India-focused analyst team",HOT
726,Mychoicee Knit & Apparels Pvt. Ltd.,Manufacturing,Bank Guarantee,BRICKWORK,A 4,16-05-2025,HIGH,NO,3,"BRICKWORK client, high urgency renewal approaching","Pre-renewal outreach — ACER vs BRICKWORK: faster, more accessible, India-focused analyst team",HOT
727,Nagata Auto Engineering India Private Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BBB- (Assigned),"March 26, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
728,Naini Papers Ltd.,Manufacturing,Long term Loans,CRISIL,A-,06-05-2025,HIGH,NO,3,"CRISIL client, high urgency renewal approaching","Pre-renewal outreach — ACER vs CRISIL: faster, more accessible, India-focused analyst team",HOT
729,Nakoda Steelmet Engineering Private Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BB (Assigned),"March 28, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
730,Nexo Industries Private Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BBB- (Reaffirmed),"May 20, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
731,Omax Autos Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BB- (Reaffirmed & Withdrawn),"January 18, 2024",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
732,Omnitech Engineering Limited (OEL),Manufacturing,Long Term Bank Facilities,Infomerics,IVR BBB+ (Reaffirmed),"April 4, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
733,Oplus Casting Private Limited,Manufacturing,Long-Term Bank Facility -Term Loan (Proposed),Infomerics,Provisional IVR BBB- (CE)  (Withdrawn),"October 20, 2020",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
734,Ornet Transformers Private Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BBB (Upgraded),"May 26, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
735,PCI Infraprojects Private Limited formerly known as PCI Wires Private Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BBB (Upgraded),"December 26, 2024",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
736,PTC Industries Limited,Manufacturing,Long Term fund-based Bank Facilities - Term Loans,Infomerics,IVR BBB (Downgraded) (Withdrawn),"September 16, 2024",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
737,Pai International Electronics Ltd.,Manufacturing,Non-government debt,ICRA,BBB/A3+,30-05-2025,HIGH,NO,3,"ICRA client, high urgency renewal approaching","Pre-renewal outreach — ACER vs ICRA: faster, more accessible, India-focused analyst team",HOT
738,Paswara Papers Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BB (Upgraded and Withdrawn),"March 31, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
739,Patel Agri Industries Private Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BBB+ (Upgraded),"May 20, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
740,Patel Engineering Limited,Manufacturing,Optionally Convertibles Debentures (OCD),Infomerics,IVR A- (Reaffirmed),"June 6, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
741,Piccadily Agro Industries Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR A- (Upgraded),"February 25, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
742,Pilania Industries India Private Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BB+ (Reaffirmed & Withdrawn),"June 14, 2024",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
743,Polyset Plastics Pvt. Ltd.,Manufacturing,Short-term loan,CRISIL,A 3+,09-06-2025,HIGH,NO,3,"CRISIL client, high urgency renewal approaching","Pre-renewal outreach — ACER vs CRISIL: faster, more accessible, India-focused analyst team",HOT
744,Poshs Metal Industries Private Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BBB- (Assigned),"April 3, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
745,Pragati Glass & Industries Private Limited,Manufacturing,Long Term Fund Based Facilities,Infomerics,IVR BBB (Upgraded),"June 9, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
746,Presstonic Engineering Ltd.,Manufacturing,Bank Guarantee,CARE,BB,10-06-2025,HIGH,NO,3,"CARE client, high urgency renewal approaching","Pre-renewal outreach — ACER vs CARE: faster, more accessible, India-focused analyst team",HOT
747,Professional Automotives Private Limited,Manufacturing,Long Term Facilities,Infomerics,IVR BBB- (Assigned),"January 31, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
748,Pudumjee Paper Products Ltd.,Manufacturing,Term loans,CRISIL,A,06-06-2025,HIGH,NO,3,"CRISIL client, high urgency renewal approaching","Pre-renewal outreach — ACER vs CRISIL: faster, more accessible, India-focused analyst team",HOT
749,Purulia Metal Casting Pvt. Ltd.,Manufacturing,Term loans,ACUITE,D,10-06-2025,HIGH,NO,3,"ACUITE client, high urgency renewal approaching","Pre-renewal outreach — ACER vs ACUITE: faster, more accessible, India-focused analyst team",HOT
750,Purulia Metal Castings Private Limited,Manufacturing,Long Term Bank Facility,Infomerics,Withdrawn,"June 9, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
751,R. R. Industrial Corporation (I) Private Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BBB- (Assigned),"February 20, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
752,RNV Industries Private Limited,Manufacturing,Long Term/Short Term Bank Facilities,Infomerics,IVR BBB-/IVR A3; (Reaffirmed),"May 27, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
753,Radiance Alloy & Electricals Private Limited,Manufacturing,Long Term Facilities,Infomerics,IVR BB (Assigned),"March 31, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
754,Rahul Cables Private Limited,Manufacturing,Long Term Facilities,Infomerics,IVR BBB (Upgraded),"January 1, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
755,Raj Process Equipments & Systems Private Limited,Manufacturing,Long Term Bank Facilities,Infomerics,,"March 15, 2024",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
756,Raja Industries,Manufacturing,Long Term Facilities,Infomerics,IVR BBB (Reaffirmed),"December 23, 2024",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
757,Rajam Food Industries,Manufacturing,Long Term Facilities,Infomerics,IVR BB- (Reaffirmed),"April 25, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
758,Rajratan Global Wire Ltd.,Manufacturing,Term loans,CRISIL,A+,09-05-2025,HIGH,NO,3,"CRISIL client, high urgency renewal approaching","Pre-renewal outreach — ACER vs CRISIL: faster, more accessible, India-focused analyst team",HOT
759,Rama Industries Limited (RIL),Manufacturing,Long Term Facilities,Infomerics,Withdrawn,"March 5, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
760,Ramani Motors Pvt. Ltd.,Manufacturing,Non-government debt,CARE,BB-/A4,09-06-2025,HIGH,NO,3,"CARE client, high urgency renewal approaching","Pre-renewal outreach — ACER vs CARE: faster, more accessible, India-focused analyst team",HOT
761,Ramest Ceramic LLP,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BBB- (Reaffirmed),"December 30, 2024",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
762,Ranga Particle Board Industries Private Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BBB- (Reaffirmed),"March 27, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
763,Rathna Packaging India Pvt. Ltd.,Manufacturing,Term loans,ICRA,BBB,13-06-2025,HIGH,NO,3,"ICRA client, high urgency renewal approaching","Pre-renewal outreach — ACER vs ICRA: faster, more accessible, India-focused analyst team",HOT
764,Ratnaveer Precision Engineering Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BBB+ (Reaffirmed),"March 17, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
765,Ratusaria Industries Private Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BBB- (Assigned),"May 8, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
766,Rayalaseema Industries India Private Limited,Manufacturing,Long Term Bank Facility - Cash Credit,Infomerics,IVR BBB- (Upgraded),"January 29, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
767,Real Dairy Industries Private Limited,Manufacturing,Long Term Bank Facilities - Term Loan,Infomerics,IVR BBB- (Assigned),"May 29, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
768,Reliable Autotech Private Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BBB+ (Reaffirmed),"January 10, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
769,Reliable Industries,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BBB (Reaffirmed),"February 14, 2025",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
770,Rivaansh Packaging Solutions Pvt. Ltd.,Manufacturing,Letter Of credit,ACUITE,A 3+,04-06-2025,HIGH,NO,3,"ACUITE client, high urgency renewal approaching","Pre-renewal outreach — ACER vs ACUITE: faster, more accessible, India-focused analyst team",HOT
771,Rockwell Automation India Pvt. Ltd.,Manufacturing,Fund based financial facility/instrument,CRISIL,AAA,29-05-2025,HIGH,NO,3,"CRISIL client, high urgency renewal approaching","Pre-renewal outreach — ACER vs CRISIL: faster, more accessible, India-focused analyst team",HOT
772,Roto Pumps Limited,Manufacturing,Long Term Bank Facilities,Infomerics,Withdrawn,"June 12, 2023",HIGH,NO,3,"Infomerics client, high urgency renewal","Upcoming renewal — introduce ACER as faster, more accessible alternative to Infomerics",HOT
