Company Name,Instrument Type,Current Rating Agency,Rating,Rating Date,Urgency,INC,Sector,State,Why Target,ACER Pitch Angle,Source
Clearmedi Healthcare Pvt. Ltd.,Term loans,CRISIL,BBB,2025-05-09,HIGH,NO,Healthcare,,Overdue 401d — call now,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Eris Lifesciences Ltd.,Term loans,IND-RA,AA,2025-05-09,HIGH,NO,Healthcare,,Overdue 401d — call now,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Luxus Hospitality Pvt. Ltd.,Term loans,IND-RA,BB-,2025-05-07,HIGH,NO,Healthcare,,Overdue 403d — call now,ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Manipal Hospitals Eastern India Pvt. Ltd.,Term loans,IND-RA,AA-,2025-05-15,HIGH,NO,Healthcare,,Overdue 395d — call now,ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Medico Remedies Ltd.,Letter Of credit,CRISIL,A 3,2025-05-30,HIGH,NO,Healthcare,,Overdue 380d — call now; Multi-agency (2 raters) — open to alternatives,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Nubeno Healthcare Pvt. Ltd.,Long term Loans,ACUITE,BB+,2025-06-03,HIGH,NO,Healthcare,,Overdue 376d — call now,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Orbit Lifescience Pvt. Ltd.,Non-fund-based financial facility/instrument,ICRA,A 4+,2025-05-09,HIGH,NO,Healthcare,,Overdue 401d — call now,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Parvathy Ortho Hospital Pvt. Ltd.,Term loans,CRISIL,BB+,2025-06-04,HIGH,NO,Healthcare,,Overdue 375d — call now,ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Pharmax India Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,BBB,2025-05-06,HIGH,NO,Healthcare,,Overdue 404d — call now,ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Premas Life Sciences Pvt. Ltd.,Bank Guarantee,CRISIL,A 2,2025-06-09,HIGH,NO,Healthcare,,Overdue 370d — call now,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Tata Medical & Diagnostics Ltd.,Non-government debt,ICRA,A 1,2025-05-23,HIGH,NO,Healthcare,,Overdue 387d — call now,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Tatva Chintan Pharma Chem Ltd.,Bank Guarantee,CRISIL,A 2,2025-06-10,HIGH,NO,Healthcare,,Overdue 369d — call now,ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Tirupati Lifesciences Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,A,2025-06-09,HIGH,NO,Healthcare,,Overdue 370d — call now,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Tirupati Medicare Ltd.,Term loans,CRISIL,A,2025-06-09,HIGH,NO,Healthcare,,Overdue 370d — call now,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Toshbro Medicals Pvt. Ltd.,Bank Guarantee,CRISIL,A 3,2025-05-16,HIGH,NO,Healthcare,,Overdue 394d — call now,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Vishal Surgical Equipment Co. Pvt. Ltd.,Bank Guarantee,CRISIL,A 4+,2025-06-13,HIGH,NO,Healthcare,,Overdue 366d — call now,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Apollo Computing Laboratories Private Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (Upgraded),2026-02-10,LOW,NO,Healthcare,,Healthcare company rated by Infomerics,ACER can step in as new rater with quick onboarding. Pharmaceutical/diagnostic companies need reliable rater for bank credit lines.,Infomerics
Cotec Healthcare Limited,Long Term Bank Facilities,Infomerics,IVR BBB (Assigned),2025-12-31,LOW,NO,Healthcare,,Healthcare company rated by Infomerics,ACER can step in as new rater with quick onboarding. Pharmaceutical/diagnostic companies need reliable rater for bank credit lines.,Infomerics
Ishika Resorts & Hospitality LLP,Long Term Facilities,Infomerics,IVR BB+ (Assigned),2026-02-10,LOW,NO,Healthcare,,Healthcare company rated by Infomerics,ACER can step in as new rater with quick onboarding. Healthcare facilities rely on WC limits; Infomerics INC = frozen credit.,Infomerics
Manipal Payment and Identity Solutions Limited (Erstwhile MCT Cards & Technology Private Limited),Long Term Fund Based Bank Facilities,Infomerics,IVR A (Upgraded),2026-01-02,LOW,NO,Healthcare,,Healthcare company rated by Infomerics,ACER can step in as new rater with quick onboarding. Pharmaceutical/diagnostic companies need reliable rater for bank credit lines.,Infomerics
Patanjali Ayurved Limited,Long Term Facilities,Infomerics,IVR A+ (Assigned),2026-01-01,LOW,NO,Healthcare,,Healthcare company rated by Infomerics,ACER can step in as new rater with quick onboarding. Pharmaceutical/diagnostic companies need reliable rater for bank credit lines.,Infomerics
Silica Healthcare Private Limited,Long Term Bank Facility,Infomerics,IVR BB- (Reaffirmed),2026-01-05,LOW,NO,Healthcare,,Healthcare company rated by Infomerics,ACER can step in as new rater with quick onboarding. Pharmaceutical/diagnostic companies need reliable rater for bank credit lines.,Infomerics
Vihana Health Care LLP,Long Term Bank Facilities,Infomerics,IVR BB (Assigned),2026-01-02,LOW,NO,Healthcare,,Healthcare company rated by Infomerics,ACER can step in as new rater with quick onboarding. Pharmaceutical/diagnostic companies need reliable rater for bank credit lines.,Infomerics
A P L Apollo Building Products Ltd.,Non-government debt,ICRA,AA+/A1+,2026-02-26,LOW,NO,Healthcare,,Multi-agency (2 raters) — open to alternatives,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
A P L Apollo Tubes Ltd.,Non-government debt,ICRA,AA+/A1+,2026-02-26,LOW,NO,Healthcare,,Multi-agency (2 raters) — open to alternatives,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
A P L Healthcare Ltd.,Non-fund based working capital limit,IND-RA,A 1+,2025-12-17,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
A S G Hospital Pvt. Ltd.,Term loans,CARE,A-,2026-01-02,LOW,NO,Healthcare,,Multi-agency (2 raters) — open to alternatives,ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Aarti Drugs Ltd.,Term loans,ICRA,AA-,2026-03-24,LOW,NO,Healthcare,,Multi-agency (2 raters) — open to alternatives,ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Abaris Healthcare Pvt. Ltd.,Bank Guarantee,CRISIL,A 2,2026-01-12,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Acebright (India) Pharma Pvt. Ltd.,Term loans,CARE,BB,2026-04-08,LOW,NO,Healthcare,,Multi-agency (3 raters) — open to alternatives,ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Adonis Medical Systems Pvt. Ltd.,Bank Guarantee,ACUITE,A 3,2026-03-25,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Akums Drugs & Pharmaceuticals Ltd.,Non-government debt,ICRA,AA/A1+,2026-04-10,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Albino Lifesciences Pvt. Ltd.,Long term Loans,CRISIL,B,2026-03-25,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Alivira Animal Health Ltd.,Term loans,IND-RA,AA-,2026-04-30,LOW,NO,Healthcare,,Multi-agency (2 raters) — open to alternatives,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Allchem Lifescience Ltd.,Fund based financial facility/instrument,BRICKWORK,A 4,2026-01-08,LOW,NO,Healthcare,,Multi-agency (3 raters) — open to alternatives,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Alliance Dental Care Ltd.,Long term Loans,CRISIL,A+,2026-01-27,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Amanta Healthcare Ltd.,Letter Of credit,CRISIL,A 3+,2026-02-16,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Ami Lifesciences Pvt. Ltd.,Non-government debt,CARE,A-/A2+,2026-04-09,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Anandaloke Medical Centre Pvt. Ltd.,Term loans,CRISIL,BBB-,2025-12-17,LOW,NO,Healthcare,,Multi-agency (2 raters) — open to alternatives,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Ananthapuri Hospitals Pvt. Ltd.,Bank Guarantee,CARE,A 4+,2026-03-09,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Anish Pharma Equip Pvt. Ltd.,Bank Guarantee,CRISIL,A 4+,2026-01-09,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Anlon Healthcare Ltd.,Non-government debt,CARE,D,2026-03-04,LOW,NO,Healthcare,,Multi-agency (2 raters) — open to alternatives,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Apollo Fertility Centre Pvt. Ltd.,Term loans,CRISIL,A+,2026-01-27,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Apollo Health & Lifestyle Ltd.,Long term Loans,CRISIL,AA-,2026-01-27,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Apollo Hospitals Enterprise Ltd.,Term loans,IND-RA,AA+,2026-04-23,LOW,NO,Healthcare,,Multi-agency (2 raters) — open to alternatives,ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Apollo Hospitals North Ltd.,Term loans,CRISIL,AA,2026-01-27,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Apollo Metalex Ltd.,Non-government debt,ICRA,AA+/A1+,2026-02-26,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Apollo Multispeciality Hospitals Ltd.,Fund based financial facility/instrument,CRISIL,AA+,2026-01-27,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Apollo Pharmacies Ltd.,Term loans,CRISIL,A,2026-03-25,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Apollo Rajshree Hospitals Pvt. Ltd.,Term loans,CARE,A-,2026-03-26,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Apollo Specialty Hospitals Pvt. Ltd.,Long term Loans,CRISIL,A+,2026-01-28,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Apollo Tyres Ltd.,Term loans,CRISIL,AA+,2025-12-24,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Apollomedics International Lifesciences Ltd.,Term loans,IND-RA,AA-,2026-03-06,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Apothecon Pharmaceuticals Pvt. Ltd.,Bank Guarantee,CRISIL,A 2,2026-04-28,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Aragen Life Sciences Ltd.,Term loans,CRISIL,AA-,2026-01-22,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Arene Life Sciences (Unit 3) Pvt. Ltd.,Letter Of credit,IND-RA,A 2,2025-12-23,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Arene Life Sciences Pvt. Ltd.,Non-fund based working capital limit,IND-RA,A 2,2025-12-23,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Astec Lifesciences Ltd.,Term loans,ICRA,AA-,2026-03-24,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Astralis Pharmacy Pvt. Ltd.,Term loans,IND-RA,BB-,2026-03-25,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Aswini Homeo & Ayurvedic Products Pvt. Ltd.,Long term Loans,CRISIL,BBB-,2026-01-16,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Aurigene Pharmaceutical Services Ltd.,Term loans,ICRA,AA+(CE),2026-01-07,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Aurore Life Sciences Pvt. Ltd.,Fund based financial facility/instrument,ICRA,A 4,2025-12-24,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Axis Clinicals Ltd.,Term loans,CARE,BBB+,2026-04-09,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Ayushman Medical Diagnostics Pvt. Ltd.,Term loans,IND-RA,BBB+,2026-02-26,LOW,NO,Healthcare,,Multi-agency (2 raters) — open to alternatives,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
B A H D L Hospitality Ltd.,Term loans,CARE,BBB-,2026-02-23,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
B P L Medical Technologies Pvt. Ltd.,Non-government debt,CARE,A-/A2+,2026-04-07,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Bafna Pharmaceuticals Ltd.,Letter Of credit,ICRA,A 4+,2026-01-23,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Bestech Hospitalities Pvt. Ltd.,Term loans,CARE,BBB+,2026-04-07,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Bet Medical Pvt. Ltd.,Non-fund based working capital limit,IND-RA,A 4+,2026-03-18,LOW,NO,Healthcare,,Multi-agency (3 raters) — open to alternatives,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Beta Drugs Ltd.,Term loans,CRISIL,BBB+,2026-01-20,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Bioplus Life Sciences Pvt. Ltd.,Bank Guarantee,CARE,A 3,2026-02-02,LOW,NO,Healthcare,,Multi-agency (2 raters) — open to alternatives,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Bliss G V S Pharma Ltd.,Non-government debt,ICRA,A-/A2+,2026-04-08,LOW,NO,Healthcare,,Multi-agency (2 raters) — open to alternatives,ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Blue Sapphire Healthcares Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,BBB,2026-02-19,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Burman Hospitality Pvt. Ltd.,Term loans,IND-RA,BBB+,2026-02-27,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
C P C Diagnostics Pvt. Ltd.,Non-fund-based financial facility/instrument,ICRA,A 2,2026-03-30,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
C T X Lifescience Pvt. Ltd.,Non-government debt,CARE,A/A1,2026-03-26,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Cadila Pharmaceuticals Ltd.,Non-fund based working capital limit,IND-RA,A 2,2026-02-05,LOW,NO,Healthcare,,Multi-agency (2 raters) — open to alternatives,ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Centaur Pharmaceuticals Pvt. Ltd.,Bank Guarantee,CRISIL,A 1,2026-03-04,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Charnock Hospitals Pvt. Ltd.,Non-fund-based financial facility/instrument,BRICKWORK,A 2,2026-04-27,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Credo Life Sciences Pvt. Ltd.,Term loans,ICRA,BB+,2026-01-05,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Cygnus Medicare Pvt. Ltd.,Non-government debt,IND-RA,A-/A1,2026-01-23,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Dasami Lab Pvt. Ltd.,Term loans,CARE,A-,2026-04-08,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Daya General Hospital Ltd.,Term loans,CARE,BBB,2026-01-05,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Disposafe Health & Life Care Ltd.,Bank Guarantee,CARE,A 3,2025-12-17,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Down Town Hospital Ltd.,Long term Loans,ACUITE,BBB-,2026-02-18,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Dr. Agarwal'S Eye Hospital Ltd.,Non-government debt,ICRA,AA-/A1+,2026-02-23,LOW,NO,Healthcare,,Multi-agency (2 raters) — open to alternatives,ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Dr. Agarwal'S Health Care Ltd.,Non-government debt,ICRA,AA-/A1+,2026-02-23,LOW,NO,Healthcare,,Multi-agency (2 raters) — open to alternatives,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Dynamic Techno Medicals Pvt. Ltd.,Long term Loans,CRISIL,A-,2026-03-27,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Felix Healthcare Pvt. Ltd.,Bank Guarantee,ACUITE,A 2,2026-03-26,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Flamingo Pharmaceuticals Ltd.,Term loans,CRISIL,BBB,2025-12-19,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Fortis Healthcare Ltd.,Long term Loans,CRISIL,AA+,2026-01-05,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Ganga Care Hospital Ltd.,Term loans,CRISIL,AA-,2026-02-13,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Glassco Laboratory Equipments Pvt. Ltd.,Non-fund-based financial facility/instrument,CARE,A 2,2026-04-07,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
H C G Medi-Surge Hospitals Pvt. Ltd.,Term loans,ICRA,A+,2026-03-25,LOW,NO,Healthcare,,Multi-agency (2 raters) — open to alternatives,ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Health Biotech Ltd.,Fund based financial facility/instrument,CRISIL,BBB-,2026-01-30,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Healthcaps India Ltd.,Non-government debt,ICRA,A-/A2+,2025-12-31,LOW,NO,Healthcare,,Multi-agency (2 raters) — open to alternatives,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Healthcare Global Enterprises Ltd.,Non-government debt,ICRA,A+/A1,2026-03-25,LOW,NO,Healthcare,,Multi-agency (2 raters) — open to alternatives,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Healthmap Diagnostics Pvt. Ltd.,Term loans,IND-RA,BBB+,2026-02-13,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Hemant Surgical Inds. Ltd.,Non-fund-based financial facility/instrument,ICRA,A 3+,2026-04-09,LOW,NO,Healthcare,,Multi-agency (2 raters) — open to alternatives,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Heritage Hospitals Ltd.,Bank Guarantee,CRISIL,A 3+,2026-01-30,LOW,NO,Healthcare,,Multi-agency (2 raters) — open to alternatives,ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Hubert Healthcare Pvt. Ltd.,Term loans,ICRA,BB-,2025-12-17,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Hy-Gro Chemicals Pharmatek Pvt. Ltd.,Fund based financial facility/instrument,ICRA,BBB,2026-02-27,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Icon Hospitality Pvt. Ltd.,Term loans,ICRA,BBB-,2026-03-10,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Ihhr Hospitality(Gujarat) Pvt. Ltd.,Term loans,CARE,BB+,2026-01-08,LOW,NO,Healthcare,,Multi-agency (2 raters) — open to alternatives,ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Imperial Hospital & Research Centre Ltd.,Long term Loans,CRISIL,AA+,2026-02-18,LOW,NO,Healthcare,,Healthcare company in d365,ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
